Coordinates, of fracture, traces, 
, x1, y1, x2, y2, 
1, 42.42, 59.163, 45.175, 56.117, 
2, 66.029, 61.928, 51.229, 65.273, 
3, 70.22, 15.719, 66.515, 13.292, 
4, 85.621, 19.096, 87.053, 11.795, 
5, 14.702, 22.358, 21.853, 12.39, 
6, 12.791, 52.11, 13.363, 47.203, 
7, 11.937, 40.934, 9.682, 36.791, 
8, 98.348, 11.084, 96.928, 9.034, 
9, 13.387, 87.47, 0, 86.033, 
10, 23.742, 81.575, 22.359, 80.369, 
11, 99.259, 68.599, 89.712, 73.398, 
12, 5.188, 30.466, 2.277, 26.329, 
13, 13.846, 8.638, 3.392, 0, 
14, 11.754, 88.505, 8.089, 89.748, 
15, 42.567, 20.858, 32.533, 14.605, 
16, 1.986, 54.659, 0, 33.874, 
17, 77.437, 89.04, 71.622, 88.694, 
18, 5.412, 97.751, 0, 94.282, 
19, 56.379, 23.526, 43.801, 21.794, 
20, 37.807, 54.24, 31.58, 52.667, 
21, 52.514, 100, 30.767, 69.855, 
22, 12.054, 13.918, 0, 8.362, 
23, 46.632, 41.232, 37.941, 41.895, 
24, 85.96, 41.121, 75.983, 33.533, 
25, 38.607, 7.975, 32.758, 21.695, 
26, 81.439, 87.375, 68.908, 91.427, 
27, 44.518, 89.721, 45.762, 70.813, 
28, 24.486, 17.117, 25.571, 20.445, 
29, 73.778, 32.994, 62.212, 37.284, 
30, 23.99, 56.327, 17.521, 60.828, 
31, 44.69, 95.656, 42.636, 94.456, 
32, 72.297, 10.13, 55.777, 6.423, 
33, 9.552, 100, 11.09, 59.227, 
34, 1.542, 100, 0, 96.802, 
35, 23.699, 53.405, 21.481, 57.707, 
36, 27.811, 67.443, 7.444, 55.272, 
37, 63.84, 37.784, 39.794, 24.37, 
38, 60.937, 89.354, 28.342, 90.9, 
39, 30.747, 72.867, 18.412, 67.39, 
40, 53.69, 9.05, 49.799, 5.257, 
41, 27.372, 18.496, 22.758, 9.807, 
42, 90.35, 32.162, 74.944, 22.399, 
43, 22.606, 73.063, 19.216, 74.452, 
44, 19.186, 39.408, 10.71, 39.446, 
45, 32.591, 94.769, 27.75, 85.925, 
46, 88.666, 83.18, 86.84, 89.414, 
47, 97.695, 80.417, 91.703, 76.455, 
